2019-12-27 00:00:00 Launching analysis for 1401383834 with LEAN Engine v2.5.0.0
2022-07-18 16:00:00 2022-07-18 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-18 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-19 16:00:00 2022-07-19 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-20 16:00:00 2022-07-20 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-20 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-21 16:00:00 2022-07-21 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-21 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-22 16:00:00 2022-07-22 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-22 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-25 16:00:00 2022-07-25 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-25 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-26 16:00:00 2022-07-26 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-26 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-27 16:00:00 2022-07-27 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-27 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-28 16:00:00 2022-07-28 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-28 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-07-29 16:00:00 2022-07-29 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-07-29 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-01 16:00:00 2022-08-01 10:00:00 >> Monthly rebalancing to target allocations
2022-08-01 16:00:00 2022-08-01 10:00:00 >> Skipping MSFT: No data available.
2022-08-01 16:00:00 2022-08-01 10:00:00 >> Skipping XOM: No data available.
2022-08-01 16:00:00 2022-08-01 10:00:00 >> Skipping GOLD: No data available.
2022-08-01 16:00:00 2022-08-01 10:00:00 >> Skipping NEE: No data available.
2022-08-01 16:00:00 2022-08-01 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-01 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-02 16:00:00 2022-08-02 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-02 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-03 16:00:00 2022-08-03 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-03 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-04 16:00:00 2022-08-04 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-04 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-05 16:00:00 2022-08-05 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-05 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-08 16:00:00 2022-08-08 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-08 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-09 16:00:00 2022-08-09 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-09 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-10 16:00:00 2022-08-10 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-10 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-11 16:00:00 2022-08-11 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-11 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-12 16:00:00 2022-08-12 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-12 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-15 16:00:00 2022-08-15 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-15 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-16 16:00:00 2022-08-16 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-16 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-17 16:00:00 2022-08-17 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-17 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-18 16:00:00 2022-08-18 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-18 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-19 16:00:00 2022-08-19 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-22 16:00:00 2022-08-22 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-22 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-23 16:00:00 2022-08-23 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-23 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-24 16:00:00 2022-08-24 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-24 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-25 16:00:00 2022-08-25 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-25 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-26 16:00:00 2022-08-26 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-26 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-29 16:00:00 2022-08-29 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-29 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-30 16:00:00 2022-08-30 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-30 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-08-31 16:00:00 2022-08-31 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-08-31 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-01 16:00:00 2022-09-01 10:00:00 >> Monthly rebalancing to target allocations
2022-09-01 16:00:00 2022-09-01 10:00:00 >> Skipping MSFT: No data available.
2022-09-01 16:00:00 2022-09-01 10:00:00 >> Skipping XOM: No data available.
2022-09-01 16:00:00 2022-09-01 10:00:00 >> Skipping GOLD: No data available.
2022-09-01 16:00:00 2022-09-01 10:00:00 >> Skipping NEE: No data available.
2022-09-01 16:00:00 2022-09-01 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-01 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-02 16:00:00 2022-09-02 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-02 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-06 16:00:00 2022-09-06 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-06 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-07 16:00:00 2022-09-07 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-07 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-08 16:00:00 2022-09-08 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-08 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-09 16:00:00 2022-09-09 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-09 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-12 16:00:00 2022-09-12 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-12 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-13 16:00:00 2022-09-13 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-13 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-14 16:00:00 2022-09-14 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-14 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-15 16:00:00 2022-09-15 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-15 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-16 16:00:00 2022-09-16 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-16 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-19 16:00:00 2022-09-19 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-20 16:00:00 2022-09-20 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-20 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-21 16:00:00 2022-09-21 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-21 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-22 16:00:00 2022-09-22 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-22 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-23 16:00:00 2022-09-23 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-23 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-26 16:00:00 2022-09-26 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-26 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-27 16:00:00 2022-09-27 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-27 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-28 16:00:00 2022-09-28 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-28 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-29 16:00:00 2022-09-29 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-29 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-09-30 16:00:00 2022-09-30 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-09-30 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-03 16:00:00 2022-10-03 10:00:00 >> Monthly rebalancing to target allocations
2022-10-03 16:00:00 2022-10-03 10:00:00 >> Skipping MSFT: No data available.
2022-10-03 16:00:00 2022-10-03 10:00:00 >> Skipping XOM: No data available.
2022-10-03 16:00:00 2022-10-03 10:00:00 >> Skipping GOLD: No data available.
2022-10-03 16:00:00 2022-10-03 10:00:00 >> Skipping NEE: No data available.
2022-10-03 16:00:00 2022-10-03 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-03 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-04 16:00:00 2022-10-04 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-04 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-05 16:00:00 2022-10-05 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-05 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-06 16:00:00 2022-10-06 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-06 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-07 16:00:00 2022-10-07 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-07 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-10 16:00:00 2022-10-10 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-10 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-11 16:00:00 2022-10-11 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-11 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-12 16:00:00 2022-10-12 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-12 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-13 16:00:00 2022-10-13 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-13 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-14 16:00:00 2022-10-14 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-14 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-17 16:00:00 2022-10-17 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-17 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-18 16:00:00 2022-10-18 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-18 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-19 16:00:00 2022-10-19 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-20 16:00:00 2022-10-20 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-20 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-21 16:00:00 2022-10-21 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-21 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-24 16:00:00 2022-10-24 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-24 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-25 16:00:00 2022-10-25 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-25 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-26 16:00:00 2022-10-26 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-26 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-27 16:00:00 2022-10-27 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-27 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-28 16:00:00 2022-10-28 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-28 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-10-31 16:00:00 2022-10-31 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-10-31 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-01 16:00:00 2022-11-01 10:00:00 >> Monthly rebalancing to target allocations
2022-11-01 16:00:00 2022-11-01 10:00:00 >> Skipping MSFT: No data available.
2022-11-01 16:00:00 2022-11-01 10:00:00 >> Skipping XOM: No data available.
2022-11-01 16:00:00 2022-11-01 10:00:00 >> Skipping GOLD: No data available.
2022-11-01 16:00:00 2022-11-01 10:00:00 >> Skipping NEE: No data available.
2022-11-01 16:00:00 2022-11-01 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-01 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-02 16:00:00 2022-11-02 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-02 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-03 16:00:00 2022-11-03 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-03 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-04 16:00:00 2022-11-04 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-04 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-07 16:00:00 2022-11-07 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-07 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-08 16:00:00 2022-11-08 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-08 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-09 16:00:00 2022-11-09 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-09 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-10 16:00:00 2022-11-10 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-10 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-11 16:00:00 2022-11-11 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-11 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-14 16:00:00 2022-11-14 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-14 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-15 16:00:00 2022-11-15 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-15 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-16 16:00:00 2022-11-16 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-16 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-17 16:00:00 2022-11-17 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-17 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-18 16:00:00 2022-11-18 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-18 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-21 16:00:00 2022-11-21 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-21 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-22 16:00:00 2022-11-22 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-22 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-23 16:00:00 2022-11-23 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-23 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-25 13:00:00 2022-11-25 12:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-25 13:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-28 16:00:00 2022-11-28 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-28 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-29 16:00:00 2022-11-29 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-29 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-11-30 16:00:00 2022-11-30 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-11-30 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-01 16:00:00 2022-12-01 10:00:00 >> Monthly rebalancing to target allocations
2022-12-01 16:00:00 2022-12-01 10:00:00 >> Skipping MSFT: No data available.
2022-12-01 16:00:00 2022-12-01 10:00:00 >> Skipping XOM: No data available.
2022-12-01 16:00:00 2022-12-01 10:00:00 >> Skipping GOLD: No data available.
2022-12-01 16:00:00 2022-12-01 10:00:00 >> Skipping NEE: No data available.
2022-12-01 16:00:00 2022-12-01 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-01 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-02 16:00:00 2022-12-02 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-02 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-05 16:00:00 2022-12-05 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-05 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-06 16:00:00 2022-12-06 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-06 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-07 16:00:00 2022-12-07 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-07 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-08 16:00:00 2022-12-08 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-08 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-09 16:00:00 2022-12-09 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-09 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-12 16:00:00 2022-12-12 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-12 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-13 16:00:00 2022-12-13 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-13 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-14 16:00:00 2022-12-14 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-14 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-15 16:00:00 2022-12-15 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-15 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-16 16:00:00 2022-12-16 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-16 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-19 16:00:00 2022-12-19 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-20 16:00:00 2022-12-20 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-20 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-21 16:00:00 2022-12-21 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-21 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-22 16:00:00 2022-12-22 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-22 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-23 16:00:00 2022-12-23 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-23 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-27 16:00:00 2022-12-27 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-27 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-28 16:00:00 2022-12-28 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-28 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-29 16:00:00 2022-12-29 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-29 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2022-12-30 16:00:00 2022-12-30 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2022-12-30 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-03 16:00:00 2023-01-03 10:00:00 >> Monthly rebalancing to target allocations
2023-01-03 16:00:00 2023-01-03 10:00:00 >> Skipping MSFT: No data available.
2023-01-03 16:00:00 2023-01-03 10:00:00 >> Skipping XOM: No data available.
2023-01-03 16:00:00 2023-01-03 10:00:00 >> Skipping GOLD: No data available.
2023-01-03 16:00:00 2023-01-03 10:00:00 >> Skipping NEE: No data available.
2023-01-03 16:00:00 2023-01-03 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-03 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-04 16:00:00 2023-01-04 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-04 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-05 16:00:00 2023-01-05 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-05 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-06 16:00:00 2023-01-06 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-06 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-09 16:00:00 2023-01-09 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-09 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-10 16:00:00 2023-01-10 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-10 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-11 16:00:00 2023-01-11 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-11 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-12 16:00:00 2023-01-12 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-12 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-13 16:00:00 2023-01-13 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-13 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-17 16:00:00 2023-01-17 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-17 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-18 16:00:00 2023-01-18 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-18 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-19 16:00:00 2023-01-19 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-20 16:00:00 2023-01-20 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2023-01-20 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2023-01-23 16:00:00 2023-01-23 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
